Start date and time: Tue Aug 16 01:13:20 2022
End date and time: Tue Apr  4 14:46:40 2023
Sun Apr  2 18:00:00 2023 | 1813.35 | 1813.35 | 1790.05 | 1798 | 105719 | 58.59672573 | 

Sun Apr  2 17:00:00 2023 | 1816.15 | 1816.7 | 1813.1 | 1813.35 | 32579 | 17.95343149 | 

Sun Apr  2 16:00:00 2023 | 1813.2 | 1818.25 | 1806.25 | 1816.15 | 15792 | 8.7088278 | 

Sun Apr  2 15:00:00 2023 | 1817.25 | 1817.7 | 1809.75 | 1813.2 | 48567 | 26.81197018 | 

Sun Apr  2 14:00:00 2023 | 1816.9 | 1818.95 | 1815.2 | 1817.25 | 23014 | 12.65791703 | 

Sun Apr  2 13:00:00 2023 | 1821.45 | 1821.5 | 1816.65 | 1816.9 | 12402 | 6.81680802 | 

Sun Apr  2 12:00:00 2023 | 1818.45 | 1821.5 | 1818.35 | 1821.45 | 22637 | 12.44033979 | 

Sun Apr  2 11:00:00 2023 | 1820.9 | 1821.25 | 1817 | 1818.45 | 21994 | 12.09076427 | 

Sun Apr  2 10:00:00 2023 | 1823.7 | 1824.85 | 1820.9 | 1820.9 | 12248 | 6.72016543 | 

Sun Apr  2 09:00:00 2023 | 1823 | 1824.9 | 1820 | 1823.7 | 31819 | 17.46496929 | 

Sun Apr  2 08:00:00 2023 | 1814.1 | 1823 | 1814.05 | 1823 | 12753 | 7.01572698 | 

Sun Apr  2 07:00:00 2023 | 1817.7 | 1818.9 | 1814.05 | 1814.1 | 13021 | 7.16750431 | 

Sun Apr  2 06:00:00 2023 | 1813.65 | 1818.9 | 1813.3 | 1817.7 | 12410 | 6.83319139 | 

Sun Apr  2 05:00:00 2023 | 1812.55 | 1814.15 | 1810.35 | 1813.65 | 12342 | 6.8075643 | 

Sun Apr  2 04:00:00 2023 | 1813.65 | 1817 | 1812.5 | 1812.55 | 13156 | 7.24804245 | 

Sun Apr  2 03:00:00 2023 | 1820.75 | 1857.5 | 1812.8 | 1813.65 | 3114755 | 1714.58535147 | 

Sun Apr  2 02:00:00 2023 | 1823.7 | 1824.6 | 1820.2 | 1820.75 | 22358 | 12.26547851 | 

Sun Apr  2 01:00:00 2023 | 1820.9 | 1826.4 | 1820.3 | 1823.7 | 13141 | 7.20765869 | 

Sun Apr  2 00:00:00 2023 | 1816.95 | 1822.8 | 1816.25 | 1820.9 | 32698 | 17.97300536 | 

Sat Apr  1 23:00:00 2023 | 1814.65 | 1824.95 | 1814.65 | 1816.95 | 12709 | 6.98942773 | 

Sat Apr  1 22:00:00 2023 | 1815.5 | 1816.1 | 1811.65 | 1814.65 | 12329 | 6.79728003 | 

Sat Apr  1 21:00:00 2023 | 1817.1 | 1817.3 | 1812.95 | 1815.5 | 12468 | 6.86846355 | 

Sat Apr  1 20:00:00 2023 | 1815.45 | 1819.15 | 1814.95 | 1817.1 | 12187 | 6.70537676 | 

Sat Apr  1 19:00:00 2023 | 1820.7 | 1824.1 | 1812.5 | 1815.45 | 22565 | 12.40915951 | 

Sat Apr  1 18:00:00 2023 | 1817.55 | 1821.85 | 1817.4 | 1820.7 | 38199 | 21.00972391 | 

Sat Apr  1 17:00:00 2023 | 1825.8 | 1826.2 | 1817.4 | 1817.55 | 22973 | 12.59976622 | 

Sat Apr  1 16:00:00 2023 | 1827.5 | 1827.5 | 1824.25 | 1825.8 | 36229 | 19.83110802 | 

Sat Apr  1 15:00:00 2023 | 1824.55 | 1827.7 | 1823.8 | 1827.5 | 22825 | 12.50152623 | 

Sat Apr  1 14:00:00 2023 | 1827.1 | 1827.8 | 1823.6 | 1824.55 | 33347 | 18.25560529 | 

Sat Apr  1 13:00:00 2023 | 1824.75 | 1827.4 | 1822.65 | 1827.1 | 22600 | 12.38603081 | 

Sat Apr  1 12:00:00 2023 | 1828.7 | 1828.7 | 1824.7 | 1824.75 | 23962 | 13.11046712 | 

Sat Apr  1 11:00:00 2023 | 1824.25 | 1828.9 | 1822.3 | 1828.7 | 13281 | 7.27120899 | 

Sat Apr  1 10:00:00 2023 | 1823.15 | 1826.55 | 1819.2 | 1824.25 | 22354 | 12.25405559 | 

Sat Apr  1 09:00:00 2023 | 1825.7 | 1825.7 | 1814.5 | 1823.15 | 41319 | 22.68312405 | 

Sat Apr  1 08:00:00 2023 | 1827.3 | 1827.4 | 1820 | 1825.7 | 42851 | 23.52656189 | 

Sat Apr  1 07:00:00 2023 | 1826.1 | 1829 | 1824.9 | 1827.3 | 22488 | 12.31231075 | 

Sat Apr  1 06:00:00 2023 | 1829.25 | 1829.55 | 1823.5 | 1826.1 | 22430 | 12.26966879 | 

Sat Apr  1 05:00:00 2023 | 1833.45 | 1841 | 1824.45 | 1829.25 | 22330 | 12.18432669 | 

Sat Apr  1 04:00:00 2023 | 1822.75 | 1834.3 | 1821.75 | 1833.45 | 38999 | 21.37393009 | 

Sat Apr  1 03:00:00 2023 | 1822 | 1824.75 | 1820 | 1822.75 | 22436 | 12.30971631 | 

Sat Apr  1 02:00:00 2023 | 1826.65 | 1826.65 | 1821.75 | 1822 | 13517 | 7.40906275 | 

Sat Apr  1 01:00:00 2023 | 1823.85 | 1829.6 | 1822.4 | 1826.65 | 29128 | 15.95954032 | 

Sat Apr  1 00:00:00 2023 | 1817.45 | 1824.2 | 1815.5 | 1823.85 | 22365 | 12.28840173 | 

Fri Mar 31 23:00:00 2023 | 1829.45 | 1829.45 | 1816.05 | 1817.45 | 22336 | 12.2447083 | 

Fri Mar 31 22:00:00 2023 | 1822.65 | 1830.6 | 1820.05 | 1829.45 | 12872 | 7.05221292 | 

Fri Mar 31 21:00:00 2023 | 1825.1 | 1825.6 | 1820.75 | 1822.65 | 18061 | 9.90261276 | 

Fri Mar 31 20:00:00 2023 | 1830.1 | 1831.75 | 1821.45 | 1825.1 | 11882 | 6.50219266 | 

Fri Mar 31 19:00:00 2023 | 1830.15 | 1834.05 | 1820.9 | 1830.1 | 15365 | 8.40541914 | 

Fri Mar 31 18:00:00 2023 | 1837.55 | 1841.65 | 1826.5 | 1830.15 | 13408 | 7.31758172 | 

Fri Mar 31 17:00:00 2023 | 1825.8 | 1845.25 | 1825.75 | 1837.55 | 145260 | 78.9981603 | 

Fri Mar 31 16:00:00 2023 | 1807.25 | 1839.25 | 1805.35 | 1825.8 | 50108 | 27.45336908 | 

Fri Mar 31 15:00:00 2023 | 1793.7 | 1811.2 | 1792.2 | 1807.25 | 84657 | 46.97529582 | 

Fri Mar 31 14:00:00 2023 | 1793.4 | 1796.2 | 1789.65 | 1793.7 | 12398 | 6.91377192 | 

Fri Mar 31 13:00:00 2023 | 1790.45 | 1799.4 | 1789.9 | 1793.4 | 13140 | 7.3229105 | 

Fri Mar 31 12:00:00 2023 | 1790.45 | 1794.7 | 1787.95 | 1790.45 | 22073 | 12.33033255 | 

Fri Mar 31 11:00:00 2023 | 1794.4 | 1798.25 | 1787.7 | 1790.45 | 30765 | 17.150879 | 

Fri Mar 31 10:00:00 2023 | 1798.15 | 1798.7 | 1781.95 | 1794.4 | 6027538 | 3354.12450428 | 

Fri Mar 31 09:00:00 2023 | 1796.55 | 1799.35 | 1795.55 | 1798.15 | 22240 | 12.37354225 | 

Fri Mar 31 08:00:00 2023 | 1805.15 | 1807.15 | 1794 | 1796.55 | 12552 | 6.96413109 | 

Fri Mar 31 07:00:00 2023 | 1804.35 | 1805.5 | 1800.2 | 1805.15 | 22292 | 12.36375162 | 

Fri Mar 31 06:00:00 2023 | 1803.2 | 1808 | 1802.7 | 1804.35 | 20186 | 11.17426387 | 

Fri Mar 31 05:00:00 2023 | 1802.65 | 1806 | 1800.1 | 1803.2 | 12914 | 7.16230201 | 

Fri Mar 31 04:00:00 2023 | 1806.15 | 1832.5 | 1800.55 | 1802.65 | 2237705 | 1234.73597913 | 

Fri Mar 31 03:00:00 2023 | 1793.1 | 1807.5 | 1789.5 | 1806.15 | 49569 | 27.58943312 | 

Fri Mar 31 02:00:00 2023 | 1784.75 | 1793.45 | 1782.25 | 1793.1 | 12866 | 7.19033152 | 

Fri Mar 31 01:00:00 2023 | 1792.7 | 1794.95 | 1782.55 | 1784.75 | 23263 | 12.98246443 | 

Fri Mar 31 00:00:00 2023 | 1795.65 | 1797.3 | 1790.5 | 1792.7 | 23046 | 12.86118047 | 

Thu Mar 30 23:00:00 2023 | 1780.55 | 1798.1 | 1779.05 | 1795.65 | 22301 | 12.44909773 | 

Thu Mar 30 22:00:00 2023 | 1775.9 | 1783.5 | 1700 | 1780.55 | 174936 | 98.37258273 | 

Thu Mar 30 21:00:00 2023 | 1770 | 1776.55 | 1768.2 | 1775.9 | 12528 | 7.06728518 | 

Thu Mar 30 20:00:00 2023 | 1785.4 | 1787 | 1764.3 | 1770 | 36505 | 20.56858374 | 

Thu Mar 30 19:00:00 2023 | 1788.9 | 1791 | 1781.35 | 1785.4 | 57963 | 32.46737217 | 

Thu Mar 30 18:00:00 2023 | 1795.3 | 1796.5 | 1785.15 | 1788.9 | 14233 | 7.94796008 | 

Thu Mar 30 17:00:00 2023 | 1797.05 | 1798.1 | 1788.5 | 1795.3 | 22512 | 12.55351788 | 

Thu Mar 30 16:00:00 2023 | 1804.25 | 1804.5 | 1796.3 | 1797.05 | 17990 | 9.99079985 | 

Thu Mar 30 15:00:00 2023 | 1805.2 | 1805.85 | 1798.5 | 1804.25 | 12140 | 6.7345873 | 

Thu Mar 30 14:00:00 2023 | 1803.35 | 1807.1 | 1802.05 | 1805.2 | 14800 | 8.20321159 | 

Thu Mar 30 13:00:00 2023 | 1800.95 | 1805.6 | 1798.25 | 1803.35 | 12460 | 6.91837142 | 

Thu Mar 30 12:00:00 2023 | 1800.15 | 1801.8 | 1793.6 | 1800.95 | 12177 | 6.77104332 | 

Thu Mar 30 11:00:00 2023 | 1806.7 | 1808.65 | 1800 | 1800.15 | 11964 | 6.63206193 | 

Thu Mar 30 10:00:00 2023 | 1796.75 | 1812.6 | 1795 | 1806.7 | 30091 | 16.70762891 | 

Thu Mar 30 09:00:00 2023 | 1798.1 | 1802 | 1793.1 | 1796.75 | 12459 | 6.93326278 | 

Thu Mar 30 08:00:00 2023 | 1797.75 | 1798.65 | 1791.5 | 1798.1 | 11803 | 6.57632819 | 

Thu Mar 30 07:00:00 2023 | 1787.35 | 1799.7 | 1786 | 1797.75 | 12607 | 7.02654653 | 

Thu Mar 30 06:00:00 2023 | 1816.6 | 1817.5 | 1768.8 | 1787.35 | 216672 | 121.3025318 | 

Thu Mar 30 05:00:00 2023 | 1791.2 | 1828.8 | 1790.75 | 1816.6 | 54351 | 30.07177899 | 

Thu Mar 30 04:00:00 2023 | 1785.65 | 1793.5 | 1781.55 | 1791.2 | 12414 | 6.93827295 | 

Thu Mar 30 03:00:00 2023 | 1793.05 | 1799.4 | 1781.25 | 1785.65 | 56773 | 31.7767916 | 

Thu Mar 30 02:00:00 2023 | 1790.25 | 1797.7 | 1789.75 | 1793.05 | 12391 | 6.90504365 | 

Thu Mar 30 01:00:00 2023 | 1796.15 | 1796.15 | 1783.35 | 1790.25 | 38669 | 21.59733814 | 

Thu Mar 30 00:00:00 2023 | 1803.05 | 1805.9 | 1796.15 | 1796.15 | 12799 | 7.103537 | 

